,Ua,Cm,Ca,Hm,air_temp,mass_temp,OD_temp,HVAC_power,hour,date,hvac_average_power
117,0.9,0.9,0.9,1.1,-4,-4,3,20000,6,"(2021, 6, 21)",0.0
118,0.9,0.9,0.9,1.1,-4,-4,3,20000,6,"(2021, 9, 21)",497.77777777777777
119,0.9,0.9,0.9,1.1,-4,-4,3,20000,6,"(2021, 12, 21)",657.7777777777778
120,0.9,0.9,0.9,1.1,-4,-4,5,10000,3,"(2021, 3, 21)",0.0
121,0.9,0.9,0.9,1.1,-4,-4,5,10000,3,"(2021, 6, 21)",0.0
122,0.9,0.9,0.9,1.1,-4,-4,5,10000,3,"(2021, 9, 21)",0.0
123,0.9,0.9,0.9,1.1,-4,-4,5,10000,3,"(2021, 12, 21)",444.44444444444446
124,0.9,0.9,0.9,1.1,-4,-4,5,10000,6,"(2021, 3, 21)",0.0
125,0.9,0.9,0.9,1.1,-4,-4,5,10000,6,"(2021, 6, 21)",657.7777777777778
126,0.9,0.9,0.9,1.1,-4,-4,5,10000,6,"(2021, 9, 21)",568.8888888888889
127,0.9,0.9,0.9,1.1,-4,-4,5,10000,6,"(2021, 12, 21)",0.0
128,0.9,0.9,0.9,1.1,-4,-4,5,15000,3,"(2021, 3, 21)",0.0
129,0.9,0.9,0.9,1.1,-4,-4,5,15000,3,"(2021, 6, 21)",0.0
130,0.9,0.9,0.9,1.1,-4,-4,5,15000,3,"(2021, 9, 21)",0.0
131,0.9,0.9,0.9,1.1,-4,-4,5,15000,3,"(2021, 12, 21)",0.0
132,0.9,0.9,0.9,1.1,-4,-4,5,15000,6,"(2021, 3, 21)",613.3333333333334
133,0.9,0.9,0.9,1.1,-4,-4,5,15000,6,"(2021, 6, 21)",0.0
134,0.9,0.9,0.9,1.1,-4,-4,5,15000,6,"(2021, 9, 21)",626.6666666666666
135,0.9,0.9,0.9,1.1,-4,-4,5,15000,6,"(2021, 12, 21)",0.0
136,0.9,0.9,0.9,1.1,-4,-4,5,20000,3,"(2021, 3, 21)",622.2222222222222
137,0.9,0.9,0.9,1.1,-4,-4,5,20000,3,"(2021, 6, 21)",0.0
138,0.9,0.9,0.9,1.1,-4,-4,5,20000,3,"(2021, 9, 21)",0.0
139,0.9,0.9,0.9,1.1,-4,-4,5,20000,3,"(2021, 12, 21)",0.0
140,0.9,0.9,0.9,1.1,-4,-4,5,20000,6,"(2021, 3, 21)",0.0
141,0.9,0.9,0.9,1.1,-4,-4,5,20000,6,"(2021, 6, 21)",0.0
142,0.9,0.9,0.9,1.1,-4,-4,5,20000,6,"(2021, 9, 21)",604.4444444444445
143,0.9,0.9,0.9,1.1,-4,-4,5,20000,6,"(2021, 12, 21)",0.0
144,0.9,0.9,1.0,0.9,-4,-4,3,10000,3,"(2021, 3, 21)",524.4444444444445
145,0.9,0.9,1.0,0.9,-4,-4,3,10000,3,"(2021, 6, 21)",0.0
146,0.9,0.9,1.0,0.9,-4,-4,3,10000,3,"(2021, 9, 21)",355.55555555555554
